,url,name,categories,img_url,user_reviews,date,price,pegi_desc
22,https://store.steampowered.com/app/1151640/Horizon_Zero_Dawn_Complete_Edition/?snr=1_7_7_230_150_1,Horizon Zero Dawn™ Complete Edition,Single-playerSteam AchievementsSteam Cloud,https://steamcdn-a.akamaihd.net/steam/apps/1151640/header.jpg?t=1596817204,"1,816;88","Aug 7, 2020",49.99,Teen
23,https://store.steampowered.com/app/221100/DayZ/?snr=1_7_7_230_150_1,DayZ,Online PvPSteam WorkshopSteam CloudValve Anti-Cheat enabledRequires agreement to a 3rd-party EULADayZ EULA,https://steamcdn-a.akamaihd.net/steam/apps/221100/header.jpg?t=1593167835,"2,087;82","Dec 13, 2018",44.99,Mature 17+
24,https://store.steampowered.com/app/1222670/The_Sims_4/?snr=1_7_7_230_150_1,The Sims™ 4,Single-playerSteam Trading CardsRemote Play on TabletIncorporates 3rd-party DRM: EA on-line activation and Origin client software installation and background use required.Requires 3rd-Party Account: EA Account (Supports Linking to Steam Account)Requires agreement to a 3rd-party EULAThe Sims™ 4 EULAEA Play subscription requires acceptance ofEA Play Terms,https://steamcdn-a.akamaihd.net/steam/apps/1222670/header.jpg?t=1599585951,541;88,"Sep 2, 2014",4.99,Teen
25,https://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition/?snr=1_7_7_230_150_1,The Elder Scrolls V: Skyrim Special Edition,Single-playerSteam AchievementsPartial Controller SupportSteam CloudRemote Play on PhoneRemote Play on TabletRequires agreement to a 3rd-party EULAThe Elder Scrolls V: Skyrim Special Edition EULA,https://steamcdn-a.akamaihd.net/steam/apps/489830/header.jpg?t=1590515887,"1,839;96","Oct 27, 2016",39.99,Mature 17+
26,https://store.steampowered.com/app/1016120/PGA_TOUR_2K21/?snr=1_7_7_230_150_1,PGA TOUR 2K21,Single-playerOnline PvPShared/Split Screen PvPOnline Co-opShared/Split Screen Co-opSteam AchievementsFull controller supportIn-App PurchasesSteam Turn NotificationsIncludes level editorRemote Play on TabletRemote Play on TVRemote Play Together,https://steamcdn-a.akamaihd.net/steam/apps/1016120/header.jpg?t=1602775738,227;83,"Aug 20, 2020",59.99,Everyone
27,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_230_150_1,ARK: Survival Evolved,Single-playerMMOSteam AchievementsFull controller supportSteam WorkshopSteam CloudValve Anti-Cheat enabledIncludes level editorRemote Play on Tablet,https://steamcdn-a.akamaihd.net/steam/apps/346110/header.jpg?t=1595349770,"4,624;88","Aug 27, 2017",49.99,Teen
28,https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_230_150_3,Cities: Skylines,Single-playerSteam AchievementsSteam Trading CardsSteam WorkshopPartial Controller SupportSteam CloudIncludes level editorRemote Play on TabletRequires agreement to a 3rd-party EULACities: Skylines EULA,https://steamcdn-a.akamaihd.net/steam/apps/255710/header.jpg?t=1589804223,"1,769;93","Mar 10, 2015",29.99,Everyone
29,https://store.steampowered.com/app/311210/Call_of_Duty_Black_Ops_III/?snr=1_7_7_230_150_3,Call of Duty®: Black Ops III,Single-playerSteam AchievementsFull controller supportSteam Trading CardsSteam WorkshopValve Anti-Cheat enabledSteam LeaderboardsRemote Play on PhoneRemote Play on TabletRemote Play on TVRemote Play TogetherRequires agreement to a 3rd-party EULACall of Duty: Black Ops III EULA,https://steamcdn-a.akamaihd.net/steam/apps/311210/header.jpg?t=1595366455,983;94,"Nov 5, 2015",59.99,Mature 17+
30,https://store.steampowered.com/app/1151340/Fallout_76/?snr=1_7_7_230_150_3,Fallout 76,MMOOnline PvPOnline Co-opSteam AchievementsIn-App PurchasesPartial Controller SupportRemote Play on TabletRequires 3rd-Party Account: Bethesda.net (Supports Linking to Steam Account),https://steamcdn-a.akamaihd.net/steam/apps/1151340/header.jpg?t=1602889593,608;64,"Apr 14, 2020",39.99,Mature 17+
31,https://store.steampowered.com/app/552990/World_of_Warships/?snr=1_7_7_230_150_3,World of Warships,MMOOnline PvPOnline Co-opSteam AchievementsSteam Trading CardsIn-App PurchasesRequires agreement to a 3rd-party EULAWorld of Warships EULA,https://steamcdn-a.akamaihd.net/steam/apps/552990/header.jpg?t=1602264276,"2,976;89","Nov 15, 2017",0.00,Teen
